禁止,制限,準制限,無制限,初登場
ブラック・ホール,[封印されし者の右足,闇の仮面,青眼の白龍,超伝導恐獣
サンダー・ボルト,封印されし者の左足,王宮のお触れ,ホーリー・エルフ,狩猟本能
デビル・フランケン,封印されし者の右腕,魔導師の力,サイクロプス,生存本能
聖なる魔術師,封印されし者の左腕,おろかな埋葬,ベビードラゴン,大進化薬
キラー・スネーク,封印されしエクゾディア,増援,ガーゴイル,テールスイング
黒き森のウィッチ,クリッター,月の書,グレムリン,ジュラシックワールド
ハーピィの羽根帚,光の護封剣,魔法石の採掘,砦を守る翼竜,大噴火
サウザンド・アイズ・サクリファイス,メタモルポット,暗黒のマンティコア,きのこマン,大地震
天使の施し,巨大化,ネクロフェイス,ヘルバウンド,サイバー・ダーク・ホーン
強欲な壺,死のデッキ破壊ウイルス,サイバー・ドラゴン,暗黒の竜王,サイバー・ダーク・エッジ
心変わり,洗脳－ブレインコントロール,光と闇の竜,剣竜,サイバー・ダーク・キール
遺言状,スケープ・ゴート,D-HERO ディアボリックガイ,バーバリアン２号,鎧黒竜－サイバー・ダーク・ドラゴン
強奪,手札抹殺,,タイホーン,スーパービークロイド－ステルス・ユニオン
押収,地割れ,,牛魔人,古代の機械工兵
いたずら好きな双子悪魔,死者蘇生,,炎の剣士,古代の機械戦車
強引な番兵,血の代償,,時の魔術師,古代の機械爆弾
苦渋の選択,聖なるバリア －ミラーフォース－,,デーモンの召喚,古代の機械掌
サイバーポッド,大嵐,,邪悪なるワーム・ビースト,サイバー・オーガ
王宮の勅命,サイクロン,,ワイト,サイバー・エスパー
刻の封印,ハリケーン,,インプ,サイバー・オーガ・２
リビングデッドの呼び声,停戦協定,,ミノタウルス,サイバー・シャドー・ガードナー
破壊輪,抹殺の使徒,,ルイーズ,バイロード・サクリファイス
王家の神殿,早すぎた埋葬,,岩窟魔人オーガ・ロック,トロイボム
処刑人－マキュラ,ドル・ドラ,,マウンテン・ウォーリアー,E・HERO クノスペ
現世と冥界の逆転,激流葬,,アンデット・ウォーリアー,ブルーメンブラット
ファイバーポッド,魔法の筒,,デビル・ドラゴン,E・HERO ブルーメ
八汰烏,リミッター解除,,二頭を持つキング・レックス,グリード・クエーサー
ラストバトル！,グラヴィティ・バインド－超重力の網－,,ジャッジ・マン,魅惑の女王 LV３
悪夢の蜃気楼,団結の力,,闇・道化師のサギー,魅惑の女王 LV５
突然変異,ダスト・シュート,,ブラック・マジシャン,魅惑の女王 LV７
魔導戦士 ブレイカー,魂を削る死霊,,メデューサの亡霊,漆黒の魔王 LV４
魔導サイエンティスト,異次元の女戦士,,竜騎士ガイア,漆黒の魔王 LV６
同族感染ウィルス,おジャマトリオ,,暗黒騎士ガイア,漆黒の魔王 LV８
蝶の短剣－エルマ,混沌の黒魔術師,,カース・オブ・ドラゴン,連爆魔人
月読命,地砕き,,壺魔人,虚無魔人
カオス・ソーサラー,次元融合,,エルフの剣士,深淵の結界像
カオス・ソルジャー －開闢の使者－,光の護封壁,,幻想師・ノー・フェイス,豪雨の結界像
混沌帝龍 －終焉の使者－,マシュマロン,,カルボナーラ戦士,業火の結界像
ヴィクトリー・ドラゴン,深淵の暗殺者,,ホーリー・ドール,烈風の結界像
第六感,レベル制限B地区,,エレキッズ,干ばつの結界像
,マインドクラッシュ,,グリフォール,閃光の結界像
,封印の黄金櫃,,サイガー,虚無の統括者
,森の番人グリーン・バブーン,,ビック・アント,地母神アイリス
,冥府の使者ゴーズ,,昆虫人間,ライトニングパニッシャー
,黄泉ガエル,,鎧蜥蜴,女王親衛隊
,ダンディライオン,,ヘラクレス・ビートル,コンボファイター
,N・グラン・モール,,キラー・ビー,コンボマスター
,未来融合－フューチャー・フュージョン,,ゴキボール,獣人アレス
,オーバーロード・フュージョン,,吸血ノミ,突撃ライノス
,E・HERO エアーマン,,ラーバモス,ストーム・シューター
,スナイプストーカー,,グレート・モス,エーリアン・ベーダー
,連鎖爆撃,,クリボー,侵食細胞「A」
,カードガンナー,,マンモスの墓場,封魔一閃
,高等儀式術,,グレート・ホワイト,限定解除
,転生の予言,,オオカミ,簡易融合
,D-HERO ディスクガイ,,ハーピィ・レディ,カウンタークリーナー
,風帝ライザー,,ハーピィ・レディ三姉妹,リニアキャノン
,,,タイガー・アックス,奇跡の蘇生
,,,シルバー・フォング,一陣の風
,,,魔物の狩人,レベルダウン！？
,,,究極完全態・グレート・モス,縮退回路
,,,ガルーザス,ポジションチェンジ
,,,千年竜,爆導索
,,,デビル・クラーケン,ストレートフラッシュ
,,,海月－ジェリーフィッシュ－,ジャスティブレイク
,,,進化の繭,リバースディメンション
,,,海竜神,チェーン・ヒーリング
,,,岩石の巨兵,チェーン・ブラスト
,,,人喰い植物,積み上げる幸福
,,,クロコダイラス,虚無を呼ぶ呪文
,,,グラップラー,昇天の黒角笛
,,,アックス・レイダー,怨念の魂 業火
,,,メガザウラー,アース・グラビティ
,,,ワイルド・ラプター,E・HERO ザ・ヒート
,,,屍を貪る竜,コールド・エンチャンター
,,,真紅眼の黒竜,古代の機械巨竜
,,,闇晦ましの城,古代の機械合成獣
,,,カードを狩る死神,起動兵士デッドリボルバー
,,,闇魔界の覇王,古代の整備場
,,,バロックス,迷走悪魔
,,,ダーク・キメラ,暴鬼
,,,メタル・ガーディアン,フレイム・オーガ
,,,カタパルト・タートル,ライトイレイザー
,,,逆転の女神,異次元からの埋葬
,,,ケンタウロス,エッジ・ハンマー
,,,ミノケンタウロス,キッズ・ガード
,,,鎧武者斬鬼,ヘル・ドラゴン
,,,地を這うドラゴン,無情の抹殺
,,,マーダーサーカス,リターンソウル
,,,鎧武者ゾンビ,ダメージ・ポラリライザー
,,,ドラゴン・ゾンビ,フュージョン・ガード
,,,マーダーサーカス・ゾンビ,デステニー・ドロー
,,,ゴースト王－パンプキング－,オーバー・デステニー
,,,格闘戦士アルティメーター,D－カウンター
,,,邪炎の翼,エターナル・ドレッド
,,,転職の魔鏡,幻獣クロスウィング
,,,黒魔族のカーテン,幻獣ワイルドホーン
,,,トモザウルス,幻獣サンダーペガス
,,,風の精霊,幻獣ロックリザード
,,,シャドウ・ファイター,Testament of the Arcane Lords
,,,手招きする墓場,Armament of the Lethal Lords
,,,心眼の女神,ジェネティック・ワーウルフ
,,,東方の英雄,フロストザウルス
,,,死の沈黙の天使 ドマ,スパイラルドラゴン
,,,命を食する者,六武衆－ヤリザ
,,,ダーク・グレイ,六武衆－ザンジ
,,,白い泥棒,六武衆－ニサシ
,,,カオス・ウィザード,六武衆－ヤイチ
,,,ナイトメア・スコーピオン,六武衆－カモン
,,,本の精霊 ホーク・ビショップ,六武衆－イロウ
,,,物陰の協力者,大将軍 紫炎
,,,地獄の裁判,紫炎の足軽
,,,ドリーム・ピエロ,静寂の聖者
,,,眠れる獅子,平穏の賢者
,,,ヤマタノ竜絵巻,暗黒界の魔神 レイン
,,,ダーク・プラント,暗黒界の刺客 カーキ
,,,アイアン・ハート,暗黒界の策士 グリン
,,,セイント・バード,フュージョニストキラー
,,,戦いの神 オリオン,エレクトリック・ワーム
,,,アサシン,パペット・プラント
,,,ラムーン,傀儡虫
,,,眠り子,D.D.クロウ
,,,ウェザー・コントロール,レイジアース
,,,オクトバーサー,サイレントアビス
,,,１３人目の埋葬者,ヘルプロミネンス
,,,炎の騎士 キラー,デスサイクロン
,,,聖なる鎖,ダークネスソウル
,,,死者の腕,シャインスピリッツ
,,,魔人デスサタン,エーリアン・サイコ
,,,なぞの手,E・HERO グロー・ネオス
,,,竜魂の石像,E・HERO エアー・ネオス
,,,青眼の銀ゾンビ,E・HERO グラン・ネオス
,,,トードマスター,ライカン・スロープ
